fullname,shortname,category
Moreau First Year Experience/ROTC/Seminar,Env/Ea Moreau2,6
Intro. Eng. Systems I,Env/Ea Eng. Sys1,6
Intro. Eng. Systems II,Env/Ea Eng. Sys,6
,,
Calculus III,Env/Ea Cal 3,6
Lin. Alg. & Diff. Equations,Env/Ea Lin. Alg. & Diff. Equations,6
Planet Earth,Env/Ea PE,6
Environmental Aquatic Chemistry,Env/Ea EAC,6
Planet Earth lab,Env/Ea PE Lab,6
Probability and Statistics,Env/Ea Prob. Stcs,6
Intro Env. Eng.,Env/Ea Env Eng,6
Programming,Env/Ea Prog,6
Intro Env. Eng. Lab,Env/Ea Intro Env. Eng. Lab,6
Challenges & Innovations Seminar,Env/Ea CIS 1,6
Physics II,Env/Ea Phy 2,6
"Global Change, Water and Energy",Env/Ea Glob. CWE,6
Challenges & Innovations Seminar,Env/Ea CIS 2,6
Arts and Letters 2,Env/Ea AL2,6
,,
Environmental Hydrology,Env/Ea EH,6
Petrology/Earth Materials,Env/Ea PEM,6
Computational Methods,Env/Ea CM,6
Dynamic Earth,Env/Ea DE,6
Surficial Processes,Env/Ea SP,6
Environmental Mineralogy,Env/Ea Env Min,6
Technical Elective,Env/Ea Tech. Elect.,6
Arts and Letters 3,Env/Ea AL3,6
Challenges & Innovations Seminar 1,Env/Ea CIS 3,6
Challenges & Innovations Seminar 2,Env/Ea CIS 4,6
Arts and Letters 4,Env/Ea AL4,6
,,
Groundwater Hydrology,Env/Ea Grd. Hyd,6
Elective 1,Env/Ea Elect. 1,6
Technical Elective1,Env/Ea Tech. Elect. 1,6
Environmental Microbiology,Env/Ea Env Micro,6
Geochemistry,Env/Ea Geoch.,6
Elective 2,Env/Ea Elect. 2,6
Technical Elective 2,Env/Ea Tech. Elect. 2,6
Challenges & Innovation Seminar 1,Env/Ea CIS 5,6
Challenges & Innovation Seminar,Env/Ea CIS 6,6
Arts and Letters 5,Env/Ea AL5,6
Arts and Letters 6,Env/Ea AL6,6
,,
,,
,,
General chemistry 1,Bio-Env/Eng Gen. Ch. 1,7
Introduction to experimentation,Bio-Env/Eng Intro. Experi.,7
Expository writing 1,Bio-Env/Eng Expo. Wri 1,7
Calculus I,Bio-Env/Eng Cal 1,7
Engineering Orientation lect,Bio-Env/Eng Eng Orient. Lect,7
Human / social elective 1,Bio-Env/Eng Hum. Soc. Elec 1,7
General chemistry 2,Bio-Env/Eng Gen. Ch. 2,7
Calculus 2,Bio-Env/Eng Cal 2,7
Analytical Physics laboratory 1,Bio-Env/Eng Anal. Phy. Lab 1,7
Analytical Physics laboratory 2,Bio-Env/Eng Anal. Phy. Lab 2,7
Human / social elective 2,Bio-Env/Eng Hum. Soc. Elec 2,7
,,
Principles of Biology,Bio-Env/Eng Princ. Bio.,7
Multivariable calculus,Bio-Env/Eng Multi. Cal.,7
Analytical Physics IIa,Bio-Env/Eng Anal. Phy. Lab 3,7
Analytical Physics Lab IIa,Bio-Env/Eng Anal. Phy. Lab 4,7
Engineering Graphics,Bio-Env/Eng Eng. Graph.,7
Mechanics of solids,Bio-Env/Eng Mech. Solids,7
"Elementary Organic Chem,",Bio-Env/Eng Elemt. Orga. Chem,7
Differential Equations,Bio-Env/Eng Diff. Equat.,7
Intro Env. Eng. Lab,Bio-Env/Eng Env. Eng. Lab,7
Physical Principles of env sciences,Bio-Env/Eng Phys. Princ. Of Sc.,7
Element of elect Eng,Bio-Env/Eng Elemt. Elect. Eng,7
Element of mech Eng: Dynamics,Bio-Env/Eng Elemt. Elect. Eng: Dyn,7
General Elective,Bio-Env/Eng Gen. Elect.,7
,,
Elementary Organic Chemistry lab,Bio-Env/Eng Elemt. Orga. Chem Lab,7
Biological principle of environmental science,Bio-Env/Eng Bio. Princ. Env. Sc.,7
Chemical principle of environmental science,Bio-Env/Eng Ch. Princ. Env. Sc.,7
Numerical Methods,Bio-Env/Eng Num. Meth.,7
Fluid Mechanics,Bio-Env/Eng Fluid Mech.,7
Fluid Mechanic Laboratory,Bio-Env/Eng Fluid Mech. Lab.,7
Micro Economics,Bio-Env/Eng Micro Econ.,7
Solid waste treatment,Bio-Env/Eng Solid WT,7
Environment Fate Transport,Bio-Env/Eng Env. Fate Trans.,7
Challenges & Innovations Seminar 1:Tecnical,Bio-Env/Eng CIS 1:Tech,7
Challenges & Innovations Seminar 2: Social,Bio-Env/Eng CIS 2:Soc,7
,,
Unit Process Biological Environmental Engineering I,Bio-Env/Eng UPBEE 1,7
Biological Environmental Engineering Lab,Bio-Env/Eng BEE Lab.,7
Air pollution Engineering,Bio-Env/Eng APE,7
Biological Environmental Engineering Design,Bio-Env/Eng BEED,7
Energy Technology,Bio-Env/Eng ET,7
Unit Process Biological Environmental Engineering II,Bio-Env/Eng UPBEE 2,7
Biological Environmental Engineering Lab I,Bio-Env/Eng BEE Lab.1,7
Biological Environmental Engineering Lab II,Bio-Env/Eng BEE Lab.2,7
Challenges & Innovation Seminar,Bio-Env/Eng CIS 1,7
Challenges & Innovations Seminar 3:Technical,Bio-Env/Eng CIS 3:Tech,7
Challenges & Innovations Seminar 4:Social,Bio-Env/Eng CIS 4:Soc,7
,,
,,
,,
Gen Chem for Engrs 1,Bio-Med/Eng GCE1,
Gen Chem for Engrs 2,Bio-Med/Eng GCE2,
Intro to Experiment.,Bio-Med/Eng IE,
Intro Comp for Engrs,Bio-Med/Eng ICE,
Expository Writing I,Bio-Med/Eng EW1,
Calculus II: Math/Phys,Bio-Med/Eng Cal 2:MP,
Calculus I: Math/Phys,Bio-Med/Eng Cal 1:MP,
Analytical Physics Ib,Bio-Med/Eng AP1b,
Analytical Physics Ia,Bio-Med/Eng AP1a,
Eng’g Mech: Statics,Bio-Med/Eng EMS,
Eng’g Orient Lecture,Bio-Med/Eng EOL,
Hum/Soc Elective 1,Bio-Med/Eng H/SE1,
Hum/Soc Elective 2,Bio-Med/Eng H/SE2,
,,
Intro to Biomed Eng,Bio-Med/Eng IBE,
System Physiology,Bio-Med/Eng SP,
Multivariable Calculus,Bio-Med/Eng MC,
Diff Eqs Eng’g & Phys,Bio-Med/Eng DEEP,
Analytical Physics IIa,Bio-Med/Eng AP2a,
Analytical Physics IIb,Bio-Med/Eng AP2b,
Analytical Phys IIa Lab,Bio-Med/Eng AP2aLab,
Analytical Phys IIb Lab,Bio-Med/Eng AP2bLab,
Biology I,Bio-Med/Eng Bio1,
Biology II,Bio-Med/Eng Bio2,
Hum/Soc Elective,Bio-Med/Eng H/SE,
Biology Lab,Bio-Med/Eng BioLab,
Micro Economics,Bio-Med/Eng ME,
,,
Biomed Trans Phenom,Bio-Med/Eng BTP,
Biomaterials,Bio-Med/Eng BioMat,
Num Model in Bio Sys,Bio-Med/Eng NMBS,
Bio Kinetics & Thermo,Bio-Med/Eng BKT,
Biomechanics,Bio-Med/Eng BioMech,
BME Meas/Analy Lab,Bio-Med/Eng BM/Alab,
BME Devices/Systems,Bio-Med/Eng BD/Sys,
Technical Elective,Bio-Med/Eng TE,
BME Dev/Sys Lab,Bio-Med/Eng BD/SysLab,
Life Science Elective,Bio-Med/Eng LSE,
Technical Elective,Bio-Med/Eng Tel,
,,
Senior Design I Lecture,Bio-Med/Eng SD1Lect,
Senior Design II Lecture,Bio-Med/Eng SD2Lect,
Senior Design I Project,Bio-Med/Eng SD1Proj,
Senior Design II Project,Bio-Med/Eng SD2Proj,
Departmental Elective 1,Bio-Med/Eng DE1,
Departmental Elective 2,Bio-Med/Eng DE2,
Departmental Elective 3,Bio-Med/Eng DE3,
Departmental Elective 4,Bio-Med/Eng DE4,
Technical Elective 1,Bio-Med/Eng TE1,
Technical Elective 2,Bio-Med/Eng TE2,
Hum/Soc Elective,Bio-Med/Eng H/Sel,
General Elective,Bio-Med/Eng GE,
,,
,,
,,
Mathematics,Phy/Eng Math,
Introduction to Engineering Physics,Phy/Eng IEP,
Computer Programming,Phy/Eng CP,
Physical Chemistry BSC,Phy/Eng PCB,
Ethics and Self Awareness,Phy/Eng ESA,
Introduction to Environmental Studies,Phy/Eng IES,
Communication Skills (Basic/Advanced),Phy/Eng CS,
Optimization Techniques,Phy/Eng OT,
Electromagnetic Theory,Phy/Eng ET,
Analog and Digital Electronics,Phy/Eng ADE,
Thermal and Statistical Physics,Phy/Eng TSP,
Electrical Science,Phy/Eng ES,
Organic and Inorganic Chemistry,Phy/Eng OIC,
,,
Engineering Analysis and Design,Phy/Eng EAD,
Mechanics and Relativity,Phy/Eng MR,
Mathematical Physics,Phy/Eng MP,
Quantum Physics,Phy/Eng QP,
Elective Course1,Phy/Eng EC1,
Electrical and Electronics Materials,Phy/Eng EEM,
Atomic Molecular and Laser Physics,Phy/Eng AMLP,
Elements of Condensed Matter Physics,Phy/Eng ECMP,
Nuclear Physics and Applications,Phy/Eng NPA,
Microprocessors and Peripheral Devices,Phy/Eng MPD,
Applied Optics,Phy/Eng AO,
,,
Numerical Analysis and Computational Physics,Phy/Eng NACP,
Signals and Systems,Phy/Eng SS,
Laser and Photonics,Phy/Eng LP,
Plasma Physics and Applications,Phy/Eng PPA,
Technical Communication,Phy/Eng TC,
Depratmental Elective I,Phy/Eng DE1,
Applied Instrumentation,Phy/Eng AI,
Semiconductor Devices,Phy/Eng SD,
Departmental Elective II,Phy/Eng DE2,
Industry-oriented Problem / Lab-based Project /,Phy/Eng IOP/LabP,
Software Engineering-based Project,Phy/Eng SEP,
Open Elective Course/Management Studies Elective,Phy/Eng OEC/MSE,
,,
Departmental Elective III,Phy/Eng DE3,
Departmental Elective IV,Phy/Eng DE4,
Training Seminar,Phy/Eng TE,
B.Tech. Project,Phy/Eng BTP,
B.Tech. Project - 2 (optional),Phy/Eng BTP2,
MSC3/DHC3 MSC - 3 / DHC – 3 (optional) MSC/DHC,Phy/Eng MSC3,
MSC4/DHC4 MSC - 4 / DHC – 4 (optional) MSC/DHC,Phy/Eng MSC4,
MSC5/DHC5 MSC - 5 / DHC – 5 (optional) MSC/DHC,Phy/Eng MSC5,
,,
,,
,,
Mathematics-I,Bio-Tech Math1,
Modern Physics,Bio-Tech MP,
Introduction to Environmental Studies,Bio-Tech Intro ES,
Communication Skills (Basic),Bio-Tech CSBa,
Communication Skills (Advance),Bio-Tech CSAd,
Ethics and Self Awareness,Bio-Tech ESA,
Introduction to Biotechnology,Bio-Tech Intro Biotech,
Computer Programming,Bio-Tech CP,
Mathematical Methods,Bio-Tech MM,
Process Calculations,Bio-Tech Proc. Cal.,
Cell Biology,Bio-Tech CB,
Biochemistry,Bio-Tech Biochem,
Organic and Inorganic Chemistry,Bio-Tech OIC,
Basic Manufacturing Processes,Bio-Tech BMP,
,,
Engineering Thermodynamics,Bio-Tech ET,
Genetics and Molecular Biology,Bio-Tech GMB,
Microbiology,Bio-Tech MicroBio,
Bioinformatics,Bio-Tech BioInf,
Immunotechnology,Bio-Tech ImmunTech,
Elective Course,Bio-Tech EC,
Fluid Mechanics,Bio-Tech FM,
Genetic Engineering,Bio-Tech GE,
Structural Biology,Bio-Tech Struct. Bio,
Heat and Mass Transfer Operations,Bio-Tech HMTO,
Biotechnology Laboratory - I,Bio-Tech Biotech Lab,
Chemical Kinetics and Reactor Design,Bio-Tech CKRD,
,,
Bioprocess Engineering,Bio-Tech BioPro Eng,
Plant Biotechnology,Bio-Tech Plant Biotech,
Animal Biotechnology,Bio-Tech Ani. Biotech,
Department Elective Course - I,Bio-Tech DEC1,
Management Studies 1/ Open Elective Course,Bio-Tech MS1/OEC,
Technical Communication,Bio-Tech TC,
Industry Oriental Problem /Case Study Lab Based Project/Pratical Problem,Bio-Tech IOP/CS Lab,
Bioseparation Engineering,Bio-Tech BioSep Eng,
Biotechnology Laboratory - II,Bio-Tech Biotech Lab2,
Department Elective Course - II,Bio-Tech DEC2,
MSC1/DHC1,Bio-Tech MSC1/DHC1,
Minor Specialization Course-I,Bio-Tech MSC1,
Departmental Honours Course-I,Bio-Tech DHC1,
Management Studies 2 / Open Elective Course,Bio-Tech MS2/OEC,
,,
B.Tech. Project,Bio-Tech B.Tech Proj.,
Department Elective Course -III,Bio-Tech DEC3,
Department Elective Course -IV,Bio-Tech DEC4,
Minor Specialization Course-II,Bio-Tech MSC2,
Departmental Honours Course-II,Bio-Tech DHC2,
Minor Specialization Course-III,Bio-Tech MSC3,
Departmental Honours Course-III,Bio-Tech DHC3,
Training Seminar,Bio-Tech TS,
B.Tech. Project,Bio-Tech B.Tech Proj.2,
,,
,,
,,
Gen. Chemistry for Eng.,Chem-Bio/Eng GCE,
Expository Writing,Chem-Bio/Eng EW,
Eng. Orientation Lectures,Chem-Bio/Eng EOL,
Calculus I,Chem-Bio/Eng Cal1,
Analytical Physics I,Chem-Bio/Eng AP,
Hum./Soc. Science Elective,Chem-Bio/Eng Hum/SSE,
Gen. Chemistry for Eng.,Chem-Bio/Eng GCE1,
Intro. Experimentation,Chem-Bio/Eng Intro Exp,
Intro. Computers for Eng.,Chem-Bio/Eng Intro CE,
Calculus II,Chem-Bio/Eng Cal2,
Analytical Physics I,Chem-Bio/Eng AP1,
Eng. Mechanics Statics,Chem-Bio/Eng EMS,
Hum./Soc. Science Elective,Chem-Bio/Eng Hum/SSE1,
,,
Analysis I,Chem-Bio/Eng Analy1,
Professional Skills Devel,Chem-Bio/Eng PSD,
Organic Chemistry I*,Chem-Bio/Eng OC1,
Multivariable Calculus,Chem-Bio/Eng MC,
Analytical Physics II,Chem-Bio/Eng AP2,
Analytical Physics II Lab,Chem-Bio/Eng AP2 Lab,
Thermodynamics I,Chem-Bio/Eng Thermo,
Organic Chemistry II,Chem-Bio/Eng OC2,
Diff. Eqns. Engineering & Physics,Chem-Bio/Eng DEEP,
Microeconomics,Chem-Bio/Eng MicroEcon,
,,
Transport Phenomena I,Chem-Bio/Eng TP1,
Analysis II,Chem-Bio/Eng Analy2,
Thermodynamics II,Chem-Bio/Eng Thermo2,
Organic Chemistry Lab,Chem-Bio/Eng OC Lab,
Advanced Calc. for Eng.,Chem-Bio/Eng ACE,
Hum./Soc Science Elective,Chem-Bio/Eng Hum/SSE2,
Transport Phenomena II,Chem-Bio/Eng TP2,
Separations Processes,Chem-Bio/Eng SP,
Kinetics,Chem-Bio/Eng Kinetics,
Processing & Prop. Mats.,Chem-Bio/Eng PPM,
Physical Chemistry II,Chem-Bio/Eng PC2,
Hum./Soc. Science Elective 1,Chem-Bio/Eng Hum/SSE3,
,,
Process Engineering I,Chem-Bio/Eng PE1,
Intro Biochem. Eng.,Chem-Bio/Eng Intro BE,
Process Engineering II,Chem-Bio/Eng PE2,
Process Simul. & Control,Chem-Bio/Eng PSC,
Design & Econ. I,Chem-Bio/Eng DE1,
General Elective 1,Chem-Bio/Eng GE1,
Technical Elective,Chem-Bio/Eng TE,
General Elective 2,Chem-Bio/Eng GE2,
,,
,,
,,
Mathematics-I,Civ/Eng1 Math1,
Mechanics,Civ/Eng1 Mech.,
Introduction to Environmental Studies,Civ/Eng1 Intro ES,
Communication Skills (Basic),Civ/Eng1 CSBa,
Communication Skills (Advance),Civ/Eng1 CSAd,
Ethics and Self Awareness,Civ/Eng1 ESA,
Introduction to Civil Engineering,Civ/Eng1 Intro CE,
Numerical Methods and Computer Programming,Civ/Eng1 NMCP,
General Chemistry - III,Civ/Eng1 GC3,
Probability and Statistics,Civ/Eng1 PS,
Solid Mechanics,Civ/Eng1 SM,
Water Supply Engineering,Civ/Eng1 WSE,
Geomatics Engineering – I,Civ/Eng1 GE1,
Fluid Mechanics,Civ/Eng1 FM,
,,
Electrical Sciences,Civ/Eng1 ES,
Geomatics Engineering -,Civ/Eng1 GE,
Channel Hydraulics,Civ/Eng1 CH,
Structural Analysis – I -,Civ/Eng1 SA1,
Engineering Graphics,Civ/Eng1 EG,
Elective Course,Civ/Eng1 EC,
Waste Water Engineering -,Civ/Eng1 WWE,
Engineering Hydrology -,Civ/Eng1 EH,
Structural Analysis-II,Civ/Eng1 SA2,
Design of Reinforced Concrete Elements,Civ/Eng1 DRCE,
Highway and Traffic Engineering,Civ/Eng1 HTE,
Basic Manufacturing Processes,Civ/Eng1 BMP,
,,
Soil Mechanics,Civ/Eng1 Soil Mech.,
Design of Steel Elements,Civ/Eng1 DSE,
Railway Engineering and Airport Planning,Civ/Eng1 REAP,
Department Elective Course – I,Civ/Eng1 DEC1,
Open Elective Course/ Management Studies Elective Course 1,OEC/MSEC 1,
Technical Communication,Civ/Eng1 TC,
Industry Oriented Problem/ Case Study/Lab based Project/ Practical Problem,Civ/Eng1 IOP/CSLab,
Foundation Engineering,Civ/Eng1 FE,
Design of Structural Systems,Civ/Eng1 DSS,
Department Elective Course – II,Civ/Eng1 DEC2,
,,
B. Tech. Project,Civ/Eng1 B.TechP,
Department Elective Course-III,Civ/Eng1 DEC3,
Department Elective Course-IV,Civ/Eng1 DEC4,
Minor Specialization Course-II / Department Honours Course – II,Civ/Eng1 MSC2/DHC2,
Minor Specialization Course-III / Department Honours Course – III,Civ/Eng1 MSC3/DHC3,
Training Seminar,Civ/Eng1 TS,
B. Tech. Project,Civ/Eng1 B.TechP1,
Department Elective Course-V,Civ/Eng1 DEC5,
Department Elective Course-VI,Civ/Eng1 DEC6,
Minor Specialization Course-IV / Department Honours Course – IV,Civ/Eng1  MSC4/DHC4,
Minor Specialization Course-V / Department Honours Course – V,Civ/Eng1  MSC5/DHC5,
,,
,,
,,
Mathematics-I,B.Tech Math1,
Physical Chemistry,B.Tech PC,
Introduction to Environmental Studies,B.Tech Intro ES,
Communication Skills (Basic),B.Tech CSBa,
Communication Skills (Advance),B.Tech CSAd,
Ethics and Self-awareness,B.Tech ESA,
Introduction to Chemical Engineering,B.Tech Intro CE,
Computer Programming and Numerical Methods,B.Tech CPNM,
Organic and Inorganic Chemistry,B.Tech OIC,
Mathematical Methods,B.Tech MM,
Material and Energy Balance,B.Tech MEB,
Fluid Dynamics,B.Tech FD,
Thermodynamics and Chemical Kinetics,B.Tech TCK,
Electrical Science,B.Tech ES,
,,
Heat Transfer,B.Tech HT,
Mechanical Operations,B.Tech MO,
Chemical Engineering Thermodynamics,B.Tech CET,
Transport Phenomena,B.Tech TP,
Mechanical Engineering Drawing,B.Tech MED,
Elective Course 1,B.Tech EC1,
Mass Transfer -I,B.Tech MT1,
Reaction Engineering,B.Tech RE,
Chemical Technology,B.Tech CT,
Industrial Instrumentation -,B.Tech Indust. Instr.,
Energy Engineering ESC,B.Tech EEESC,
Equipment Design,B.Tech ED,
,,
Mass Transfer-II,B.Tech MT2,
Process Dynamics and Control,B.Tech PDC,
Process Equipment Design,B.Tech PED,
Departmental Elective Course-1,B.Tech DEC1,
Open Elective Course 2,B.Tech OPE2,
Technical Communication,B.Tech TC,
Industry Oriented Problem/Case Study/Lab Based Project/Practical Problem,B.Tech IOP/CSLab,
Engineering Analysis and Process Modeling,B.Tech EAPM,
Process Economics and Plant Design,B.Tech PEPD,
Process Utilities and Safety,B.Tech PUS,
Departmental Elective Course-II,B.Tech DEC2,
Minor Specialization Course-I/,B.Tech MSC1,
Any one Elective course from ‘Management Studies’,B.Tech ECMS,
,,
B. Tech. Project 1,B.Tech B. TechP1,
Department Elective Course- III,B.Tech DEC3,
Department Elective Course- IV,B.Tech DEC4,
Minor Specialization Course-II/,B.Tech MSC2,
Departmental Honours Course-II7 Minor Specialization Course-III/,B.Tech DHC2.7/MSC3,
Departmental Honours Course-III,B.Tech DHC3,
Training Seminar,B.Tech TS,
B. Tech. Project 2,B.Tech B. TechP2,
Department Elective Course- V,B.Tech DEC5,
Department Elective Course- VI,B.Tech DEC6,
MSC4/DHC4,B.Tech MSC4/DHC4,
Minor Specialization Course-IV/,B.Tech MSC4,
Departmental Honours Course-IV,B.Tech DHC4,
Minor Specialization Course-V/,B.Tech MSC5,
Departmental Honours Course-V,B.Tech DHC5,
,,
,,
,,
Writing and Rhetoric/University Seminar,Civ/Eng2 WR/US,
Writing and Rhetoric/University Seminar,Civ/Eng2 WR/US1,
Calculus I,Civ/Eng2 Cal1,
Calculus II,Civ/Eng2 Cal2,
Chemistry: Fundamental,Civ/Eng2 CF,
Technical Elective,Civ/Eng2 TE,
Arts and Letters,Civ/Eng2 AL,
General Physics 1,Civ/Eng2 GP1,
Experience/ROTC/Seminar 1,Civ/Eng2 E/R/S1,
Experience/ROTC/Seminar 2,Civ/Eng2 E/R/S1,
Intro. Eng. Systems.,Civ/Eng2 Intro Eng Sys,
,,
Calculus III,Civ/Eng2 Cal3,
Lin. Alg. & Diff. Eq,Civ/Eng2 Lin. Alg. & Diff. Eq,
Planet Earth,Civ/Eng2 PE,
Solid Mechanics,Civ/Eng2 SM,
Intro to CAD,Civ/Eng2 Intro CAD,
Probability and Statistics,Civ/Eng2 PS,
Engineering Programming,Civ/Eng2 EP,
Materials (with Lab),Civ/Eng2 Materials(Lab),
Statics,Civ/Eng2 Stcs,
Challenges & Innovations Seminar 1,Civ/Eng2 CIS1,
Physics II,Civ/Eng2 Phy2,
Arts and Letters 1,Civ/Eng2 AL1,
Challenges & Innovations Seminar 2,Civ/Eng2 CIS2,
,,
Intro to Structural Engineering,Civ/Eng2 Intro SE,
Reinforced Concrete Design,Civ/Eng2 RCD,
Intro to Environmental Engineering,Civ/Eng2 Intro EE,
Arts & Letters 2,Civ/Eng2 AL2,
Computational Methods,Civ/Eng2 CM,
Hydraulics,Civ/Eng2 Hydr,
Fluid Mechanics,Civ/Eng2 FM,
Hydraulics Lab,Civ/Eng2 Hydr Lab,
Differential Equations,Civ/Eng2 DE,
Dynamics and Modeling,Civ/Eng2 DM,
Challenges & Innovations Seminar 3,Civ/Eng2 CIS3,
Challenges & Innovations Seminar 4,Civ/Eng2 CIS4,
Arts and Letters 3,Civ/Eng2 AL3,
,,
Transportation,Civ/Eng2 Transp.,
Environmental Fluid Dynamics,Civ/Eng2 EFD,
Senior Design,Civ/Eng2 Senior Design,
Steel Design,Civ/Eng2 Steel Design,
Groundwater Hydrology,Civ/Eng2 GH,
Structural Analysis,Civ/Eng2 SA,
Reactive Transport,Civ/Eng2 RT,
CE Elective 1,Civ/Eng2 CEE1,
CE Elective 2,Civ/Eng2 CEE2,
Geotechnical Engineering with lab,Civ/Eng2 GELab,
Technical Elective1,Civ/Eng2 TE1,
Arts and Letters1,Civ/Eng2 AL11,
Challenges & Innovation Seminar,Civ/Eng2 CIS,
Principles of Practice,Civ/Eng2 PP,
Arts and Letters 2,Civ/Eng2 AL22,
,,
,,
,,
Mathematics-I,Comput-Sc/Eng Math.1,
Electrodynamics and Optics,Comput-Sc/Eng EO,
Introduction to Environmental Studies,Comput-Sc/Eng IES,
Communication Skills (Basic),Comput-Sc/Eng CSBa,
Communication Skills (Advance),Comput-Sc/Eng CSAd,
Ethics and Self Awareness,Comput-Sc/Eng ESA,
Introduction to Computer Science and Engineering,Comput-Sc/Eng Intro CSE,
Fundamentals of Object Oriented Programming,Comput-Sc/Eng FOOP,
Optimization Techniques,Comput-Sc/Eng OT,
Quantum Mechanics and Statistical Mechanics,Comput-Sc/Eng QMSM,
Digital Logic Design,Comput-Sc/Eng DLD,
Data Structures,Comput-Sc/Eng Data Struct,
Discrete Structures,Comput-Sc/Eng Discrete Struct,
Fundamentals of Electronics,Comput-Sc/Eng FE,
,,
Engineering Thermodynamics,Comput-Sc/Eng ET,
Signals and Systems,Comput-Sc/Eng SS,
Computer Architecture and Microprocessors,Comput-Sc/Eng CAM,
Data Structures Laboratory,Comput-Sc/Eng Data Struct Lab,
Object Oriented Analysis and Design -,Comput-Sc/Eng OOAD,
Elective Course -1,Comput-Sc/Eng EC1,
Electrical and Electronic Materials -,Comput-Sc/Eng EEM,
Design and Analysis of Algorithms,Comput-Sc/Eng DAA,
Operating Systems,Comput-Sc/Eng OS,
System Software,Comput-Sc/Eng Sys Soft.,
Software Engineering,Comput-Sc/Eng Soft. Eng.,
Digital Electronic Circuits Laboratory,Comput-Sc/Eng DECLab,
Elective Course - 2,Comput-Sc/Eng EC2,
,,
Computer Networks,Comput-Sc/Eng CN,
Data Base Management Systems -,Comput-Sc/Eng DBMS,
Theory of Computation -,Comput-Sc/Eng TC,
Computer Networks Laboratory,Comput-Sc/Eng CNLab,
Departmental Elective Course,Comput-Sc/Eng DEC,
Open Elective Course/Management Studies Elective Course*,Comput-Sc/Eng OEC/MSE,
Studies Elective Course*,Comput-Sc/Eng SEC,
Industry-oriented Problem / Lab-based,Comput-Sc/Eng IOP/Lab,
Project / Software Engineering-based,Comput-Sc/Eng Proj/Soft Eng.,
Principles of Programming Languagues,Comput-Sc/Eng PPL,
Compiler Design,Comput-Sc/Eng CD,
Compiler Laboratory,Comput-Sc/Eng CL,
Departmental Elective Course-II -,Comput-Sc/Eng DEC2,
